region	sub-table	lower_frequency	upper_frequency	category	service	footnotes
gb		24890000	24990000	p	Amateur-Satellite	UK1, UK11, UK12, UK7, EU1
gb		24990000	25005000	p	Standard Frequency and Time Signal	UK1, UK11, UK9, EU1
gb		25005000	25010000	p	Standard Frequency and Time Signal	UK1, UK11, UK9, EU1
gb		25005000	25010000	s	Space Research	UK1, UK11, UK9, EU1
gb		25010000	25070000	p	Mobile except aeronautical mobile	UK11, UK2, EU1
gb		25070000	25210000	p	Maritime Mobile	UK11, UK185, UK2, EU1
gb		25210000	25550000	p	Fixed	UK11, UK2, EU1
gb		25210000	25550000	p	Mobile except aeronautical mobile	UK11, UK2, EU1
gb		25550000	25670000	p	Radio Astronomy	5.149, UK1, UK10, UK11, EU1
gb		25670000	26100000	p	Broadcasting	UK1, UK11, EU1
gb		26100000	26175000	p	Maritime Mobile	5.132, UK11, UK12, UK185, UK2, EU1
gb		26175000	26200000	p	Fixed	UK11, UK2, UK6, EU1
gb		26175000	26200000	p	Mobile except aeronautical mobile	UK11, UK2, UK6, EU1
gb		26200000	26350000	p	Fixed	UK11, UK2, UK29, UK6, EU1
gb		26200000	26350000	p	Mobile except aeronautical mobile	UK11, UK2, UK28, UK29, UK6, EU1
gb		26200000	26350000	s	Radiolocation	UK11, UK2, UK29, UK6, EU1
gb		26350000	27500000	p	Fixed	5.150, UK11, UK2, UK29, UK6, EU1
gb		26350000	27500000	p	Mobile except aeronautical mobile	5.150, UK11, UK2, UK28, UK29, UK6, EU1
gb		27500000	28000000	p	Meteorological Aids	UK11, UK2, EU1
gb		27500000	28000000	p	Fixed	UK11, UK2, EU1
gb		27500000	28000000	p	Mobile	UK11, UK2, UK28, EU1
gb		28000000	29700000	p	Amateur	UK1, UK11, UK7, EU1
gb		28000000	29700000	p	Amateur-Satellite	UK1, UK11, UK7, EU1
gb		29700000	30005000	p	Fixed	UK11, UK2, EU1
gb		29700000	30005000	p	Mobile	UK11, UK2, EU1
gb		30005000	30010000	p	Space Operation (Satellite Identification)	UK11, UK2, EU1
gb		30005000	30010000	p	Fixed	UK11, UK2, EU1
gb		30005000	30010000	p	Mobile	UK11, UK2, EU1
gb		30005000	30010000	p	Space Research	UK11, UK2, EU1
gb		30010000	37500000	p	Fixed	UK11, UK167, UK2, UK29, UK31, EU1
gb		30010000	37500000	p	Mobile	UK11, UK167, UK2, UK29, UK31, EU1
gb		37500000	38250000	p	Fixed	5.149, UK167, UK2
gb		37500000	38250000	p	Mobile	5.149, UK167, UK2
gb		37500000	38250000	s	Radio Astronomy	5.149, UK10, UK167, UK2
gb		38250000	39000000	p	Mobile	UK11, UK167, UK2, UK29, UK31
gb		38250000	39000000	p	Fixed	UK11, UK167, UK2, UK29, UK31
gb		39000000	39500000	p	Fixed	UK167, UK2, UK31
gb		39000000	39500000	p	Mobile	UK167, UK2, UK31
gb		39000000	39500000	s	Radiolocation	UK167, UK2, UK31
gb		39500000	39986000	p	Fixed	UK167, UK2, UK31
gb		39500000	39986000	p	Mobile	UK167, UK2, UK31
gb		39986000	40020000	p	Mobile	UK167, UK2, UK31
gb		39986000	40020000	s	Space Research	UK167, UK2, UK31
gb		40020000	40980000	p	Mobile	UK11, UK2, UK31, UK6, EU1
